,no,economic,figure,stratgy,rule,puzzle,party,sum_score,
30,203993,4.642857143,4.84375,4.861111111,4.615384615,4.310344828,4.62962963,27.90307733,3.5
31,182874,4.642857143,5,4.722222222,4.743589744,4.655172414,5,28.76384152,18.42105263
32,150376,4.821428571,4.84375,4.722222222,4.615384615,4.482758621,5,28.48554403,5.384615385
33,162886,4.642857143,5,4.583333333,4.743589744,4.655172414,4.814814815,28.43976745,15.2173913
34,205059,4.642857143,4.6875,4.444444444,4.615384615,4.655172414,4.62962963,27.67498825,8.076923077
35,171623,4.821428571,4.6875,4.722222222,4.743589744,4.310344828,5,28.28508536,13.33333333
36,146021,4.642857143,4.84375,4.861111111,4.743589744,4.310344828,4.62962963,28.03128245,6.363636364
37,28720,4.821428571,5,4.861111111,4.487179487,4.482758621,4.62962963,28.28210742,10.5
38,40834,4.821428571,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,28.0311772,3.888888889
39,117959,4.642857143,4.84375,4.722222222,4.358974359,4.310344828,4.62962963,27.50777818,0
40,121921,4.642857143,4.21875,4.861111111,5,4.655172414,4.62962963,28.0075203,12.96296296
41,4098,4.642857143,4.6875,5,4.358974359,4.827586207,4.814814815,28.33173252,5.185185185
42,193738,4.642857143,4.84375,4.861111111,4.358974359,4.827586207,4.814814815,28.34909363,10.5
43,196340,4.642857143,4.6875,4.861111111,4.615384615,4.482758621,5,28.28961149,13.33333333
44,46213,4.642857143,4.84375,4.722222222,4.358974359,4.310344828,4.814814815,27.69296337,0
45,169786,4.821428571,4.6875,4.583333333,5,4.310344828,5,28.40260673,27.39130435
46,187645,5,4.53125,5,4.871794872,4.655172414,5,29.05821729,15
47,2651,4.821428571,5,4.861111111,4.358974359,4.310344828,4.62962963,27.9814885,3.181818182
48,175914,4.642857143,4.84375,4.861111111,4.358974359,4.310344828,4.62962963,27.64666707,6.666666667
49,62219,4.642857143,4.53125,5,4.871794872,4.482758621,4.814814815,28.34347545,15.2173913
50,68448,4.642857143,4.84375,4.861111111,4.615384615,4.655172414,4.62962963,28.24790491,16.47058824
51,221107,4.821428571,4.84375,4.861111111,4.487179487,4.655172414,4.814814815,28.4834564,10
52,216132,5,4.84375,4.861111111,4.615384615,4.310344828,4.814814815,28.44540537,12.72727273
53,247030,4.642857143,4.84375,4.861111111,4.358974359,4.655172414,4.62962963,27.99149466,8.235294118
54,118,4.285714286,4.84375,4.861111111,4.358974359,4.482758621,4.62962963,27.46193801,6.363636364
55,18602,4.642857143,4.84375,5,4.743589744,4.310344828,4.814814815,28.35535653,3.333333333
56,118,4.285714286,4.84375,4.861111111,4.358974359,4.482758621,4.62962963,27.46193801,6.363636364
57,108745,4.821428571,5,5,4.487179487,4.482758621,4.62962963,28.42099631,15.55555556
58,115746,4.642857143,4.53125,5,4.615384615,4.655172414,5,28.44466417,5.384615385
59,2093,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,8.75
60,157354,4.821428571,4.84375,4.722222222,4.487179487,4.827586207,5,28.70216649,18.26086957
61,229853,4.642857143,4.6875,4.861111111,4.487179487,4.655172414,4.814814815,28.14863497,14
62,144733,4.642857143,4.84375,4.722222222,4.487179487,4.310344828,4.814814815,27.82116849,4.117647059
63,161970,4.821428571,4.84375,4.861111111,4.743589744,4.655172414,4.814814815,28.73986665,10
64,183394,5,5,4.861111111,4.615384615,4.482758621,4.62962963,28.58888398,14.73684211
65,104006,4.642857143,4.84375,4.722222222,4.743589744,4.482758621,4.62962963,28.06480736,7
66,39683,4.821428571,4.84375,5,4.615384615,4.482758621,4.62962963,28.39295144,18.42105263
67,175640,4.642857143,5,4.722222222,4.615384615,4.310344828,4.62962963,27.92043844,0
68,164928,4.642857143,5,4.861111111,4.871794872,4.482758621,5,28.85852175,17.5
69,191189,4.821428571,4.84375,4.722222222,4.615384615,4.655172414,4.814814815,28.47277264,12.72727273
70,124361,4.821428571,4.84375,4.861111111,4.615384615,5,5,29.1416743,11.66666667
71,14996,4.642857143,5,4.861111111,4.358974359,4.655172414,4.814814815,28.33292984,10.5
72,266192,4.642857143,5,5,4.743589744,4.655172414,4.814814815,28.85643412,22.10526316
73,269385,4.642857143,4.84375,4.583333333,4.615384615,4.655172414,4.62962963,27.97012713,6.086956522
74,249259,4.821428571,4.6875,5,4.615384615,4.827586207,4.62962963,28.58152902,12.17391304
75,104162,4.642857143,4.375,4.861111111,4.871794872,4.655172414,4.62962963,28.03556517,5
76,161614,4.107142857,4.84375,5,4.358974359,4.310344828,4.62962963,27.24984167,2.916666667
77,178900,4.642857143,4.84375,5,4.358974359,4.482758621,4.814814815,28.14315494,0
78,73439,4.821428571,4.53125,5,4.487179487,4.655172414,5,28.49503047,19.09090909
79,28143,4.642857143,4.84375,5,4.743589744,4.655172414,4.814814815,28.70018412,10
80,59959,4.642857143,5,5,4.358974359,4.655172414,4.62962963,28.28663355,0
81,244521,5,5,4.861111111,4.487179487,4.482758621,5,28.83104922,3.043478261
82,103343,4.821428571,4.6875,4.861111111,4.615384615,4.655172414,4.62962963,28.27022634,5.6
83,13,5,4.53125,4.861111111,4.487179487,4.310344828,4.814814815,28.00470024,9.545454545
84,126042,4.642857143,4.84375,5,4.615384615,4.310344828,4.62962963,28.04196622,3.684210526
85,237182,4.642857143,4.375,4.722222222,4.743589744,4.482758621,5,27.96642773,8.75
86,188,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,4.117647059
87,132531,4.642857143,4.84375,4.861111111,4.871794872,4.482758621,4.814814815,28.51708656,6.086956522
88,54,4.642857143,4.53125,5,4.615384615,4.655172414,4.62962963,28.0742938,9.130434783
89,822,4.642857143,4.84375,4.722222222,4.358974359,4.482758621,4.62962963,27.68019197,3.888888889
90,156129,4.642857143,4.84375,4.861111111,4.487179487,4.655172414,4.814814815,28.30488497,2.916666667
91,146508,4.642857143,5,5,4.487179487,4.482758621,4.814814815,28.42761007,3.333333333
92,5,4.642857143,4.84375,4.722222222,4.358974359,4.827586207,4.62962963,28.02501956,10.5
93,12,4.821428571,4.84375,4.861111111,4.358974359,4.482758621,4.814814815,28.18283748,3.333333333
94,25021,4.821428571,5,5,4.615384615,4.482758621,4.814814815,28.73438662,6.363636364
95,7854,4.642857143,5,4.861111111,4.358974359,4.482758621,4.62962963,27.97533086,0
96,156943,4.821428571,4.84375,4.861111111,4.358974359,4.482758621,4.62962963,27.99765229,8.235294118
97,163068,4.642857143,4.84375,4.861111111,4.743589744,4.482758621,4.62962963,28.20369625,2.916666667
98,83330,4.642857143,4.6875,4.861111111,4.487179487,4.655172414,4.62962963,27.96344978,6.086956522
99,113924,4.642857143,4.84375,5,4.615384615,4.827586207,4.62962963,28.55920759,6.086956522
100,18833,4.642857143,5,5,4.615384615,4.482758621,4.62962963,28.37063001,7
101,42,4.821428571,5,4.722222222,4.358974359,5,5,28.90262515,14
102,199792,4.821428571,4.84375,4.861111111,4.615384615,4.655172414,5,28.79684671,25.78947368
103,155426,4.821428571,4.84375,4.722222222,4.615384615,5,4.814814815,28.81760022,14
104,30549,4.821428571,5,4.861111111,4.615384615,4.655172414,4.62962963,28.58272634,10.5
105,72125,4.642857143,4.375,4.861111111,4.615384615,4.655172414,4.62962963,27.77915491,9.130434783
106,191189,4.821428571,4.84375,4.722222222,4.615384615,4.655172414,4.814814815,28.47277264,12.72727273
107,110327,4.821428571,4.84375,5,4.743589744,4.655172414,4.62962963,28.69357036,10
108,15987,4.642857143,4.84375,4.861111111,4.871794872,4.482758621,4.814814815,28.51708656,8.75
109,929,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,4.117647059
110,39856,4.642857143,5,5,4.358974359,4.482758621,4.814814815,28.29940494,0
111,161533,4.642857143,5,5,4.358974359,4.655172414,4.62962963,28.28663355,11.66666667
112,47,4.642857143,4.84375,4.861111111,4.358974359,4.827586207,4.62962963,28.16390845,18.42105263
113,150145,4.642857143,4.84375,4.722222222,4.358974359,4.655172414,4.62962963,27.85260577,0
114,159675,4.821428571,4.84375,4.861111111,4.871794872,4.482758621,4.814814815,28.69565799,14
115,171905,4.642857143,5,4.861111111,4.358974359,4.482758621,4.62962963,27.97533086,0
