화이트엔젤 천호점,서울 강동구 올림픽로70길 61 두산위브센티움 2층
플레이보드게임,경북 구미시 인동중앙로3길 29 4층
홀덤치기좋은날,서울 관악구 봉천로 516 2층
보드놀이터 2호점,서울 마포구 어울마당로 100-6 4층
보드팩토리,서울 마포구 어울마당로 70 서포빌딩 5층
보드게임카페갬성,서울 송파구 백제고분로41길 26 3층
퍼스트보드게임카페 부평점,인천 부평구 시장로 21 3층
지지보드게임카페,서울 강서구 강서로 24 4층
보드게임카페봉봉,경기 부천시 부일로483번길 15 2층
마이티마장,서울 강남구 삼성로81길 35 강남빌딩 5층
더지니어스,경기 광주시 경안로 5 3층
퍼스트보드게임카페 구월점,인천 남동구 인하로 497-23 4층
라스보드카페,서울 강남구 언주로172길 36 지하 1층
타이틀보드카페,경기 성남시 분당구 돌마로 79 수협바다마트3층 썬프라자 301호
빌보드게임카페,경기 수원시 장안구 서부로 2130 2층
데블다이스 보드게임카페 강남3호점,서울 강남구 테헤란로1길 42 5층
몬스터홀덤,서울 중구 을지로3길 30-5 4층
나인보드카페,경기 용인시 수지구 풍덕천로139번길 6-5 4층
달콤한상상,서울 양천구 신월로38길 12
히어로보드게임카페 원주단계점,강원 원주시 장미공원길 36 3층
욜로,경기 성남시 중원구 둔촌대로101번길 25 분당인텔리지1 3층 킨스타워333호
홈즈앤루팡 노원점,서울 노원구 상계로 64 화랑빌딩 3층
에이 보드게임카페,서울 강남구 논현로161길 16 지하 1층
보드게임카페홈즈앤루팡 신촌점,서울 서대문구 연세로 12 지하1층
마이턴 보드게임카페,서울 서대문구 연세로5가길 8-6 3층
게임 아카이브,서울 서초구 효령로23길 45 101호
히어로보드게임카페 발산점,서울 강서구 강서로 385 우성에스비타워 3층
묵찌빠보드게임까페,인천 부평구 부평문화로 72-1
플레이어스19,경기 성남시 분당구 분당로53번길 13 산호트윈스2 4층 407호
풀하우스,경기 용인시 수지구 풍덕천로139번길 3 5층
알라딘보드카페,경기 용인시 수지구 광교중앙로296번길 4
히어로보드게임 범계점,경기 안양시 동안구 평촌대로 223 지하1층
아수라발발타,서울 강남구 강남대로118길 15 3층
보드카페아쿠아,서울 영등포구 여의대방로51길 13 지하1층
대니보드게임카페,서울 관악구 남부순환로266길 6 지하1층
잭보드카페 압구정점,서울 강남구 언주로172길 59 지하 1층
데블다이스 보드게임카페 홍대점,서울 마포구 어울마당로 116 3층
데블다이스 보드게임카페 강남4호점,서울 강남구 테헤란로1길 42 6층
큐브 목동본점,서울 양천구 목동로25길 16
사가정 명카페보드게임,서울 중랑구 사가정로51길 39 3층
킹덤보드게임카페 신림점,서울 관악구 신림로59길 12 6층
홈즈앤루팡 산본점,경기 군포시 산본로323번길 16-25 삼일빌딩 5층
몬스터핸드보드카페 하남미사점,경기 하남시 미사강변중앙로170번길 10 신성프라자 2층 201~203호
데블다이스 보드게임카페 안양점,경기 안양시 만안구 안양로 300 3층
브레인보드게임카페,경기 안산시 단원구 선부로 244 2층
크라임씬카페 코티지가든,서울 마포구 양화로6길 57 지하 1층
토너랩,경기 수원시 팔달구 아주로 25 3층
더조커,경기 의정부시 태평로73번길 56 4층
레이지클라우드,서울 동대문구 휘경로 5-1 7층
포퀸스보드카페 등촌점,서울 강서구 공항대로59가길 10 한울H밸리움 지하 1층
쿼즈,서울 양천구 오목로 337-10 지하1층 2호
더홀릭 보드게임카페 철산점,경기 광명시 오리로856번길 18 락희빌딩 5층
메이드보드게임카페,서울 마포구 잔다리로 25 우신빌딩 지하1층
레끄레오 보드게임카페,서울 마포구 홍익로6길 27 4층
정글비 경기양평점,경기 양평군 양평읍 남북로 68
세븐보드게임카페,경기 성남시 분당구 황새울로258번길 32 코리아나빌딩 3층 302호
홈즈앤루팡 일산점,경기 고양시 일산동구 정발산로 23 호수빌딩 5층 501호
런,경기 안양시 동안구 인덕원로 20 2층
아지트보드게임,경기 수원시 팔달구 향교로 22 지하 1층
카페깔깔고블린,서울 마포구 동교로17안길 10 1층
텍사스보드카페,서울 성동구 마조로1가길 11 지하
더홀릭 강남점,서울 강남구 테헤란로84길 9 2층
W보드카페,서울 강남구 선릉로155길 29 지하1층
보드게임카페 잠실새내점,서울 송파구 올림픽로10길 9 진영빌딩 4층
플립보드게임카페 샤로수길점,서울 관악구 관악로16길 46 지하1층
보드게임카페 로직 안암점,서울 성북구 고려대로24길 36 3층
조이보드카페,서울 강남구 선릉로157길 14-7 압구정빌딩 지하1층
홀덤스타 북문점,경기 수원시 장안구 팔달로 287 1층
보드게임카페 판,경기 성남시 분당구 분당로53번길 15
하비게임몰,경기 부천시 중동로254번길 104 호정프라자 403호
캡틴보드카페,경기 성남시 분당구 야탑로69번길 21 2층
울퍼보드게임카페,서울 송파구 백제고분로7길 24-17 2층
S보드게임클럽,경기 성남시 수정구 산성대로 269
미니미 보드게임 룸카페,서울 성북구 동소문로22길 43 4 5층
히어로보드게임카페 산본점,경기 군포시 산본로323번길 20-17 거성빌딩2차 4층
더블디,경기 화성시 수노을중앙로 156 폴리프라자2 4층 402호
팬텀홀덤앤보드카페 동춘점,인천 연수구 앵고개로246번길 39-22 3층
보드게임카페 따숲,경기 용인시 수지구 현암로 157 한솔프라자 5층 502호
히어로보드게임카페 모란점,경기 성남시 중원구 둔촌대로101번길 27 M타워 5층 501504505호
보드스토리,서울 강동구 천호대로157길 17 3층
슈퍼보드 홍대점,서울 마포구 어울마당로 98 3층
썬보드카페,서울 강남구 테헤란로22길 13 예동빌딩 지하1층
레드버튼 노원점,서울 노원구 노해로79길 6-19 나동 4층 1 2호
마인드셋,서울 서초구 동작대로 36 대광빌딩 지하1층
보드스쿨 범계점,경기 안양시 동안구 평촌대로223번길 59 서련코아 405호
더플레이어 보드게임카페,경기 수원시 영통구 반달로7번길 16 5층
포커몬 기흥점,경기 용인시 기흥구 강남로 6 4층
007보드카페,경기 부천시 중동로254번길 78
승리룸보드카페,서울 구로구 경인로 342 3층
안녕보드야,인천 서구 중봉대로586번길 15 청연프라자 9층
떼구르르보드게임카페,서울 강북구 도봉로10길 22 4층
삼층다락방,대구 중구 동성로6길 52 3층
레드버튼 부평2호점,인천 부평구 경원대로1403번길 6 5층
사당텍사스홀덤,서울 관악구 남현1길 20 2층
더룸보드카페,서울 중구 명동8길 37-14
카페잭스,경기 수원시 영통구 광교중앙로25번길 68
큐큐보드게임,경기 시흥시 대은로 86 302호
빌보드게임카페,서울 마포구 양화로21길 17 2층
플레이보드카페,서울 영등포구 국제금융로 86
펀타임 대학로,서울 종로구 대명길 24 5층
홀덤챔피언,경북 구미시 금오시장로3길 6-1
베가스 보드게임카페,서울 송파구 올림픽로10길 9
헬로보드게임카페,인천 연수구 샘말로7번길 3
보드앤,경기 광주시 태봉로 51 성원프라자 307호
보드카페고,서울 강남구 언주로172길 60
에이스보드게임,경기 성남시 중원구 제일로63번길 30
아수라발발타 역삼점,서울 강남구 테헤란로33길 13 서안빌딩 3층
홀스 구디점,서울 구로구 디지털로32나길 22 홀스
플렉스보드카페,서울 양천구 신정중앙로 94
위너보드카페,서울 영등포구 여의대방로 379 제일빌딩 지하 1층
위플미플보드게임카페,서울 강서구 화곡로27길 14 3층
바니 슬라임&보드게임카페,경기 구리시 산마루로 19 진영트윈타워 B동 402호
리플레이멀티보드게임카페,경기 용인시 기흥구 동백중앙로 283 골드프라자 C동 2층 207208호
보드케이브,서울 관악구 남부순환로145길 14
더벙커,서울 동대문구 회기로21길 34 지하1층
아발론 보드게임카페,서울 강북구 노해로8길 22 경남아너스빌 2층 210호
ZIN보드카페,서울 강남구 봉은사로1길 6 3층
트리플보드카페,경기 성남시 분당구 구미로9번길 7 제2층 211호
보드게임공간,서울 관악구 관악로 168 2층
트리플나인,경기 용인시 기흥구 구갈로72번길 10-1 그랜드프라자 308호
플레이,서울 중구 필동로 31 2층
토마토보드카페,서울 강남구 테헤란로43길 10 지하1층
정글비 청라점,인천 서구 중봉대로612번길 10-8 반안프라자 204호
보드까페칸,서울 강남구 언주로172길 55 4층
999존,서울 강남구 학동로2길 56 3층
슈퍼보드,서울 성북구 동소문로20길 29-17 3층
131보드카페,서울 용산구 보광로 124
룰렛,인천 부평구 부평대로20번길 17-1
올드다이스보드게임,서울 영등포구 영신로41길 2 지하1층
보드스쿨 산본점,경기 군포시 산본로323번길 16-7 롯데프라자 4층 404호
보드게임카페클루,서울 은평구 응암로 168 지하
올리브보드카페,서울 강남구 테헤란로64길 25 4층
프리다,서울 중랑구 동일로 715
디플랜 1호점,서울 금천구 벚꽃로 216
24시아지트,인천 남동구 인하로489번길 16 세동네오스빌딩 801호
쵸파보드카페,경기 안산시 단원구 고잔1길 42 우성빌딩 4층 401402호
제이제이,서울 강남구 도곡로4길 5
네가오길기다려(NEO),서울 마포구 와우산로17길 22 5층
써미타스플레이스,강원 원주시 서원대로 111 103호
큐빅보드카페,서울 송파구 백제고분로7길 6-15 3층
